NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count,pm25_lag1,pm25_lag2,pm25_rolling3,days_above_lag1,month_sin,month_cos,next_month_pm25,label_next_month_pm25
Sacramento,2018,8,20.797141114893616,45.916667,9.325073289926824,16,235,9.711304620833332,8.331748847826086,8.202992891002415,0.0,-0.8660254037844384,-0.5000000000000004,9.151371217391304,0
Sacramento,2018,9,9.151371217391304,19.625,4.144541087932532,0,230,20.797141114893616,9.711304620833332,12.946731527851012,16.0,-1.0,-1.8369701987210297e-16,6.049185058823529,0
Sacramento,2018,10,6.049185058823529,15.9,2.745528447222506,0,221,9.151371217391304,20.797141114893616,13.219938984372751,0.0,-0.8660254037844386,0.5000000000000001,28.82131872072072,1
Sacramento,2018,11,28.82131872072072,228.4,42.722443091718795,53,222,6.049185058823529,9.151371217391304,11.999232463702816,0.0,-0.5000000000000004,0.8660254037844384,10.886104369294603,0
Sacramento,2018,12,10.886104369294603,30.3,6.917666774020821,0,241,28.82131872072072,6.049185058823529,14.67395833231185,53.0,-2.4492935982947064e-16,1.0,10.058862820083682,0
Sacramento,2019,1,10.058862820083682,41.4,8.392413385213068,3,239,10.886104369294603,28.82131872072072,15.252202716279617,0.0,0.49999999999999994,0.8660254037844387,3.271313212962963,0
Sacramento,2019,2,3.271313212962963,12.8,2.473724764386983,0,216,10.058862820083682,10.886104369294603,16.588761970033,3.0,0.8660254037844386,0.5000000000000001,3.813657632911392,0
Sacramento,2019,3,3.813657632911392,10.5,2.029541407370832,0,237,3.271313212962963,10.058862820083682,8.072093467447083,0.0,1.0,6.123233995736766e-17,5.332902021459227,0
Sacramento,2019,4,5.332902021459227,15.833333,3.583696798152265,0,233,3.813657632911392,3.271313212962963,5.714611221986012,0.0,0.8660254037844387,-0.49999999999999983,5.940999518518518,0
Sacramento,2019,5,5.940999518518518,11.583333,2.566189511142551,0,216,5.332902021459227,3.813657632911392,4.13929095577786,0.0,0.49999999999999994,-0.8660254037844387,6.410495447368421,0
