NAME,year,month,fire_count,avg_frp
El Dorado,2018,5,4,3.24
El Dorado,2018,6,24,5.184583333333333
El Dorado,2018,7,2,3.84
El Dorado,2018,9,12,8.578333333333333
El Dorado,2018,10,21,6.979047619047619
El Dorado,2018,11,13,19.799999999999997
El Dorado,2018,12,107,3.2695327102803735
El Dorado,2019,1,38,5.897368421052631
El Dorado,2019,2,1,1.29
El Dorado,2019,3,15,3.3333333333333335
El Dorado,2019,4,16,5.880625
El Dorado,2019,5,11,7.807272727272727
El Dorado,2019,6,6,13.635
El Dorado,2019,7,8,4.44125
El Dorado,2019,8,3,10.546666666666667
El Dorado,2019,9,13,24.694615384615382
El Dorado,2019,10,425,12.3744
El Dorado,2019,11,1,2.9
El Dorado,2019,12,59,4.671525423728814
El Dorado,2020,1,30,10.198666666666666
El Dorado,2020,2,89,13.17550561797753
El Dorado,2020,3,44,13.158636363636363
El Dorado,2020,4,1,2.24
El Dorado,2020,5,3,3.773333333333333
El Dorado,2020,6,1,6.43
El Dorado,2020,7,6,8.21
El Dorado,2020,8,4,1.9899999999999998
El Dorado,2020,9,159,16.71805031446541
El Dorado,2020,10,8,1.9675
El Dorado,2020,11,6,3.5866666666666664
El Dorado,2020,12,67,4.742835820895522
Fresno,2015,1,8,1.9575
Fresno,2015,2,87,7.652298850574713
Fresno,2015,3,71,11.46338028169014
Fresno,2015,4,81,8.637777777777778
Fresno,2015,5,50,5.1876
Fresno,2015,6,23,4.320434782608696
Fresno,2015,7,34,6.341764705882353
Fresno,2015,8,5732,20.021959176552684
Fresno,2015,9,4997,13.192971783069842
Fresno,2015,10,211,5.450521327014218
Fresno,2015,11,101,6.427920792079208
Fresno,2015,12,118,5.990084745762712
Fresno,2016,1,20,7.3595
Fresno,2016,2,107,5.723271028037383
Fresno,2016,3,133,6.59984962406015
Fresno,2016,4,78,5.301153846153846
Fresno,2016,5,49,4.430204081632653
Fresno,2016,6,35,7.330857142857142
Fresno,2016,7,118,8.532542372881355
Fresno,2016,8,140,14.958142857142857
Fresno,2016,9,197,12.074467005076142
Fresno,2016,10,265,13.27954716981132
Fresno,2016,11,229,10.389737991266376
Fresno,2016,12,59,13.446779661016949
Fresno,2017,1,39,14.58076923076923
Fresno,2017,2,45,9.246222222222222
Fresno,2017,3,156,5.210448717948718
Fresno,2017,4,125,16.13632
Fresno,2017,5,118,12.04271186440678
Fresno,2017,6,87,6.690919540229885
Fresno,2017,7,827,23.220822249093107
Fresno,2017,8,48,12.15125
Fresno,2017,9,150,8.853866666666667
Fresno,2017,10,278,10.367913669064748
Fresno,2017,11,266,10.060601503759399
Fresno,2017,12,184,8.985815217391304
Fresno,2018,1,192,9.16859375
Fresno,2018,2,211,10.661469194312797
Fresno,2018,3,76,6.899078947368421
Fresno,2018,4,62,9.244516129032258
Fresno,2018,5,43,5.4906976744186045
Fresno,2018,6,40,9.8295
Fresno,2018,7,13,6.395384615384615
Fresno,2018,8,98,8.618571428571428
Fresno,2018,9,85,7.637529411764705
Fresno,2018,10,196,7.255
Fresno,2018,11,127,6.866771653543307
Fresno,2018,12,41,4.438780487804879
Fresno,2019,1,79,7.875696202531645
Fresno,2019,2,41,6.66170731707317
Fresno,2019,3,59,5.121016949152542
Fresno,2019,4,58,5.468275862068966
Fresno,2019,5,56,6.283214285714286
Fresno,2019,6,74,7.399054054054053
Fresno,2019,7,41,6.460243902439024
Fresno,2019,8,41,8.255365853658537
Fresno,2019,9,79,5.062658227848101
Fresno,2019,10,81,6.674444444444444
Fresno,2019,11,60,3.779333333333333
Fresno,2019,12,58,5.574310344827587
Fresno,2020,1,73,9.271506849315069
Fresno,2020,2,345,11.950028985507247
Fresno,2020,3,250,7.6905600000000005
Fresno,2020,4,91,6.008791208791208
Fresno,2020,5,71,6.206901408450705
Fresno,2020,6,58,4.5522413793103444
Fresno,2020,7,600,21.874116666666666
Fresno,2020,8,99,14.410909090909092
Fresno,2020,9,14505,18.73233505687694
Fresno,2020,10,6631,14.632797466445483
Fresno,2020,11,307,3.8099348534201956
Fresno,2020,12,32,4.5215625
Glenn,2015,1,20,5.1635
