NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3,county_id,event_date,row_id
Amador,2017,4,1,0.3,16.0,0.0,8.0,5.0,12.24375,0.8660254037844387,-0.4999999999999998,4.666666666666667,2,2017-04-01,95
Amador,2017,5,16,6.3575,3.0,0.0,1.0,8.0,0.3,0.4999999999999999,-0.8660254037844387,8.333333333333334,2,2017-05-01,96
Amador,2017,6,3,15.063333333333333,1.0,0.0,16.0,1.0,6.3575,1.2246467991473532e-16,-1.0,6.666666666666667,2,2017-06-01,97
Amador,2017,7,1,6.55,1.0,0.0,3.0,16.0,15.063333333333333,-0.4999999999999998,-0.8660254037844388,6.666666666666667,2,2017-07-01,98
Amador,2017,10,1,0.76,8.0,0.0,1.0,3.0,6.55,-0.8660254037844386,0.5000000000000001,1.6666666666666667,2,2017-10-01,99
Amador,2017,11,8,4.23625,1.0,0.0,1.0,1.0,0.76,-0.5000000000000004,0.8660254037844384,3.3333333333333335,2,2017-11-01,100
Amador,2017,12,1,2.07,4.0,0.0,8.0,1.0,4.23625,-2.4492935982947064e-16,1.0,3.3333333333333335,2,2017-12-01,101
Amador,2018,1,4,1.62,5.0,0.0,1.0,8.0,2.07,0.4999999999999999,0.8660254037844387,4.333333333333333,2,2018-01-01,102
Amador,2018,2,5,3.526,5.0,0.0,4.0,1.0,1.62,0.8660254037844386,0.5000000000000001,3.3333333333333335,2,2018-02-01,103
Amador,2018,3,5,3.582,8.0,0.0,5.0,4.0,3.526,1.0,6.123233995736766e-17,4.666666666666667,2,2018-03-01,104
Amador,2018,4,8,17.76875,3.0,0.0,5.0,5.0,3.582,0.8660254037844387,-0.4999999999999998,6.0,2,2018-04-01,105
Amador,2018,5,3,7.87,1.0,0.0,8.0,5.0,17.76875,0.4999999999999999,-0.8660254037844387,5.333333333333333,2,2018-05-01,106
Amador,2018,6,1,12.46,2.0,0.0,3.0,8.0,7.87,1.2246467991473532e-16,-1.0,4.0,2,2018-06-01,107
Amador,2018,7,2,1.29,1.0,0.0,1.0,3.0,12.46,-0.4999999999999998,-0.8660254037844388,2.0,2,2018-07-01,108
Amador,2018,11,1,0.87,8.0,0.0,2.0,1.0,1.29,-0.5000000000000004,0.8660254037844384,1.3333333333333333,2,2018-11-01,109
Amador,2018,12,8,4.275,12.0,0.0,1.0,2.0,0.87,-2.4492935982947064e-16,1.0,3.6666666666666665,2,2018-12-01,110
Amador,2019,1,12,6.324166666666667,2.0,0.0,8.0,1.0,4.275,0.4999999999999999,0.8660254037844387,7.0,2,2019-01-01,111
Amador,2019,2,2,6.07,8.0,0.0,12.0,8.0,6.324166666666667,0.8660254037844386,0.5000000000000001,7.333333333333333,2,2019-02-01,112
Amador,2019,3,8,5.9375,4.0,0.0,2.0,12.0,6.07,1.0,6.123233995736766e-17,7.333333333333333,2,2019-03-01,113
Amador,2019,4,4,7.1,1.0,0.0,8.0,2.0,5.9375,0.8660254037844387,-0.4999999999999998,4.666666666666667,2,2019-04-01,114
Amador,2019,5,1,4.29,2.0,0.0,4.0,8.0,7.1,0.4999999999999999,-0.8660254037844387,4.333333333333333,2,2019-05-01,115
Amador,2019,7,2,4.0,1.0,0.0,1.0,4.0,4.29,-0.4999999999999998,-0.8660254037844388,2.3333333333333335,2,2019-07-01,116
Amador,2019,9,1,1.73,4.0,0.0,2.0,1.0,4.0,-1.0,-1.8369701987210294e-16,1.3333333333333333,2,2019-09-01,117
Amador,2019,11,4,9.5975,8.0,0.0,1.0,2.0,1.73,-0.5000000000000004,0.8660254037844384,2.3333333333333335,2,2019-11-01,118
Amador,2019,12,8,5.05875,4.0,0.0,4.0,1.0,9.5975,-2.4492935982947064e-16,1.0,4.333333333333333,2,2019-12-01,119
Amador,2020,1,4,3.8325,10.0,,8.0,4.0,5.05875,0.4999999999999999,0.8660254037844387,5.333333333333333,2,2020-01-01,120
Amador,2020,2,10,3.78,8.0,,4.0,8.0,3.8325,0.8660254037844386,0.5000000000000001,7.333333333333333,2,2020-02-01,121
Amador,2020,4,8,8.668750000000001,4.0,,10.0,4.0,3.78,0.8660254037844387,-0.4999999999999998,7.333333333333333,2,2020-04-01,122
Amador,2020,9,4,8.235,2.0,,8.0,10.0,8.668750000000001,-1.0,-1.8369701987210294e-16,7.333333333333333,2,2020-09-01,123
Amador,2020,10,2,13.765,3.0,,4.0,8.0,8.235,-0.8660254037844386,0.5000000000000001,4.666666666666667,2,2020-10-01,124
Butte,2015,3,42,8.418809523809523,25.0,0.0,11.0,5.0,5.506363636363637,1.0,6.123233995736766e-17,19.333333333333332,3,2015-03-01,125
Butte,2015,4,25,9.7668,12.0,0.0,42.0,11.0,8.418809523809523,0.8660254037844387,-0.4999999999999998,26.0,3,2015-04-01,126
Butte,2015,5,12,8.104166666666666,3.0,0.0,25.0,42.0,9.7668,0.4999999999999999,-0.8660254037844387,26.333333333333332,3,2015-05-01,127
