NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3
Calaveras,2017,4,12,8.358333333333333,10.0,0,27.0,1.0,9.367407407407407,0.8660254037844387,-0.49999999999999983,13.333333333333334
Calaveras,2017,5,10,5.542,12.0,0,12.0,27.0,8.358333333333333,0.49999999999999994,-0.8660254037844387,16.333333333333332
Calaveras,2017,7,12,23.719166666666663,1.0,0,10.0,12.0,5.542,-0.4999999999999998,-0.8660254037844388,11.333333333333334
Calaveras,2017,8,1,0.84,8.0,0,12.0,10.0,23.719166666666663,-0.8660254037844384,-0.5000000000000004,7.666666666666667
Calaveras,2017,10,8,34.792500000000004,23.0,0,1.0,12.0,0.84,-0.8660254037844386,0.5000000000000001,7.0
Calaveras,2017,11,23,1.912608695652174,30.0,0,8.0,1.0,34.792500000000004,-0.5000000000000004,0.8660254037844384,10.666666666666666
Calaveras,2018,1,30,4.852333333333333,27.0,0,23.0,8.0,1.912608695652174,0.49999999999999994,0.8660254037844387,20.333333333333332
Calaveras,2018,2,27,3.4385185185185185,2.0,0,30.0,23.0,4.852333333333333,0.8660254037844386,0.5000000000000001,26.666666666666668
Calaveras,2018,3,2,3.03,17.0,0,27.0,30.0,3.4385185185185185,1.0,6.123233995736766e-17,19.666666666666668
Calaveras,2018,4,17,3.7423529411764704,7.0,0,2.0,27.0,3.03,0.8660254037844387,-0.49999999999999983,15.333333333333334
Calaveras,2018,5,7,3.597142857142857,34.0,0,17.0,2.0,3.7423529411764704,0.49999999999999994,-0.8660254037844387,8.666666666666666
Calaveras,2018,6,34,2.003823529411765,1.0,0,7.0,17.0,3.597142857142857,1.2246467991473532e-16,-1.0,19.333333333333332
Calaveras,2018,8,1,4.34,18.0,0,34.0,7.0,2.003823529411765,-0.8660254037844384,-0.5000000000000004,14.0
Calaveras,2018,10,18,7.723888888888889,1.0,0,1.0,34.0,4.34,-0.8660254037844386,0.5000000000000001,17.666666666666668
Calaveras,2018,11,1,3.22,23.0,0,18.0,1.0,7.723888888888889,-0.5000000000000004,0.8660254037844384,6.666666666666667
Calaveras,2018,12,23,3.152608695652174,21.0,0,1.0,18.0,3.22,-2.4492935982947064e-16,1.0,14.0
Calaveras,2019,1,21,6.874761904761905,1.0,0,23.0,1.0,3.152608695652174,0.49999999999999994,0.8660254037844387,15.0
Calaveras,2019,3,1,1.89,13.0,0,21.0,23.0,6.874761904761905,1.0,6.123233995736766e-17,15.0
Calaveras,2019,4,13,3.047692307692308,4.0,0,1.0,21.0,1.89,0.8660254037844387,-0.49999999999999983,11.666666666666666
Calaveras,2019,5,4,3.94,7.0,0,13.0,1.0,3.047692307692308,0.49999999999999994,-0.8660254037844387,6.0
Calaveras,2019,6,7,4.442857142857143,2.0,0,4.0,13.0,3.94,1.2246467991473532e-16,-1.0,8.0
Calaveras,2019,9,2,14.490000000000002,3.0,0,7.0,4.0,4.442857142857143,-1.0,-1.8369701987210297e-16,4.333333333333333
Calaveras,2019,10,3,3.3866666666666667,21.0,0,2.0,7.0,14.490000000000002,-0.8660254037844386,0.5000000000000001,4.0
Calaveras,2019,11,21,29.18047619047619,11.0,0,3.0,2.0,3.3866666666666667,-0.5000000000000004,0.8660254037844384,8.666666666666666
Calaveras,2019,12,11,3.411818181818182,14.0,0,21.0,3.0,29.18047619047619,-2.4492935982947064e-16,1.0,11.666666666666666
